序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,001399,N惠科,42.00,315.02,A股,130.31亿,电子-光学光电子-面板,电子-光学光电子-面板,国产芯片、电子纸概念、融资融券、AIPC、注册制次新股、工业互联、次新股、小米概念、消费电子概念、智能穿戴、MicroLED、OLED、MiniLED,31.880,76.00,31.50,65.92,0.00,2.84亿,76.98,9.1452,3065.09亿,180.84亿
2,920363,莱赛激光,13.06,20.81,A股,1.75亿,机械设备-通用设备-仪器仪表,机械设备-通用设备-仪器仪表,北斗导航、军工、激光雷达、安防概念、专精特新、融资融券、2025年报扭亏、昨日高振幅、无人机、昨日触板、车联网、商业航天、军民融合、生态农业、机器视觉、卫星导航、农机、DeepSeek概念、昨日炸板、无人驾驶、高端装备、传感器、机器人概念、新型城镇化,2.250,14.05,11.14,18.73,8.00,1320.41万,618.45,4.8424,16.20亿,9.21亿
3,920405,海希通讯,18.19,20.46,A股,8777.72万,机械设备-自动化设备-工控设备,机械设备-自动化设备-工控设备,固态电池、储能概念、融资融券、昨日高振幅、工业互联、碳化硅、反转股、数据中心,3.090,18.28,14.51,4.92,2.13,541.07万,690.08,3.0563,25.51亿,20.02亿
4,300264,佳创视讯,9.77,20.02,A股,4.67亿,计算机-IT服务Ⅱ-IT服务Ⅲ,计算机-IT服务Ⅱ-IT服务Ⅲ,空间计算、专精特新、昨日高振幅、虚拟机器人、昨日首板、虚拟现实、元宇宙概念、AIGC概念、网络游戏、深圳特区、华为概念、互联网服务、Web3.0、虚拟数字人、百度概念、在线教育、裸眼3D、创业板综、人工智能、国产操作系统、混合现实、云游戏,1.630,9.77,7.99,13.64,2.34,5053.56万,-264.63,482.8225,42.09亿,36.19亿
5,301349,信德新材,75.60,20.00,A股,11.11亿,电力设备-电池-电池化学品,电力设备-电池-电池化学品,钠离子电池、钒电池、专精特新、融资融券、2025年报扭亏、昨日高振幅、碳基材料、高压快充、深股通、近期新高、昨日首板、电池技术、光伏概念、固态电池、新材料、光纤概念、锂电池概念、百日新高 、碳纤维、创业板综,12.600,75.60,63.04,13.94,1.85,1568.87万,86.01,3.9402,107.73亿,85.06亿
6,688409,富创精密,274.80,20.00,A股,30.11亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、专精特新、中盘股、融资融券、昨日高振幅、近期新高、昨日首板、沪股通、半导体概念、上海微电子、历史新高 、光刻机/胶、百日新高 、DeepSeek概念,45.800,274.80,219.50,3.90,1.34,1195.08万,363.05,18.6218,841.47亿,841.47亿
7,688432,有研硅,30.90,20.00,A股,20.95亿,电子-半导体-半导体材料,电子-半导体-半导体材料,题材股、国产芯片、融资融券、昨日高振幅、近期新高、昨日首板、沪股通、硅能源、绿色电力、半导体概念、存储芯片、小盘股、中芯概念、历史新高 、百日新高 、半导体硅片,5.150,30.90,24.77,5.91,1.62,7395.08万,192.48,8.6952,386.34亿,386.34亿
8,688596,正帆科技,56.22,20.00,A股,23.48亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,国产芯片、专精特新、合成生物、昨日高振幅、转债标的、第三代半导体、存储芯片、中芯概念、百日新高 、磷化工、电子特气、融资融券、医疗器械概念、近期新高、昨日首板、2025年报预减、沪股通、半导体概念、氦气概念、碳化硅、氟化工概念、氢能源、光伏概念、历史新高 、工业气体、锂电池概念、光纤概念、高端装备,9.370,56.22,45.50,15.06,2.05,4431.06万,-161.51,4.5993,165.36亿,165.36亿
9,300162,雷曼光电,12.13,19.98,A股,12.17亿,电子-光学光电子-LED,电子-光学光电子-LED,国产芯片、粤港澳大湾区、LED概念、专精特新、昨日高振幅、贬值受益、元宇宙概念、足球概念、深圳特区、柔性屏、昨日高换手、消费电子概念、农业种植、MicroLED、智能家居、在线教育、DeepSeek概念、人工智能、数据要素、安防概念、显示技术、昨日首板、超清视频、体育产业、商业航天、先进封装、玻璃基板、裸眼3D、海峡两岸、创业板综、新零售、MiniLED、植物照明,2.020,12.13,9.83,30.61,1.84,1.05亿,-91.70,6.1598,50.89亿,41.50亿
10,300540,蜀道装备,30.50,19.98,A股,10.53亿,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,专精特新、西部大开发、昨日高振幅、深股通、充电桩、昨日首板、燃料电池概念、车联网、商业航天、氦气概念、氢能源、油气资源、智慧灯杆、工业气体、一带一路、央国企改革、创业板综、天然气,5.080,30.50,24.60,17.73,2.16,3666.14万,141.23,6.1250,69.42亿,63.05亿
11,301051,信濠光电,20.96,19.98,A股,8.80亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,融资融券、昨日高振幅、深股通、近期新高、昨日首板、破发股、深圳特区、柔性屏、智能穿戴、消费电子概念、百日新高 、创业板综、3D玻璃,3.490,20.96,17.22,19.79,4.50,4468.85万,-27.26,3.0542,59.58亿,47.34亿
12,300338,*ST开元,2.97,17.39,A股,7602.49万,社会服务-教育-培训教育,社会服务-教育-培训教育,钠离子电池、职业教育、虚拟电厂、元宇宙概念、昨日触板、破发股、ChatGPT概念、低价股、长期破净、电池技术、储能概念、虚拟数字人、百度概念、在线教育、昨日炸板、电网概念,0.440,3.04,2.54,7.51,2.60,2627.67万,-13.07,-9.3996,11.96亿,10.39亿
13,688584,上海合晶,33.88,15.99,A股,14.07亿,电子-半导体-半导体材料,电子-半导体-半导体材料,小盘股、国产芯片、专精特新、融资融券、历史新高 、昨日高振幅、百日新高 、近期新高、贬值受益、半导体硅片、沪股通、半导体概念,4.670,34.80,29.50,12.29,1.90,4218.75万,451.62,5.4485,226.72亿,116.31亿
14,300668,杰恩股份,65.30,15.66,A股,8.27亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,2025年报扭亏、昨日高振幅、虚拟现实、ERP概念、昨日触板、AIGC概念、深圳特区、华为概念、股权转让、数据确权、创业板综、昨日炸板、新型城镇化,8.840,67.75,54.90,13.49,2.44,1345.19万,-302.25,10.0809,78.61亿,65.10亿
15,688156,路德科技,30.00,15.52,A股,2.55亿,农林牧渔-饲料-畜禽饲料,环保-环境治理-水务及水治理,生态农业、固废处理、污水处理、专精特新、合成生物、融资融券、昨日高振幅、节能环保,4.030,30.64,25.12,8.78,2.42,884.34万,68.39,3.9056,30.21亿,30.21亿
16,300260,新莱应材,92.90,14.54,A股,48.22亿,机械设备-通用设备-金属制品,机械设备-通用设备-金属制品,题材股、国产芯片、融资融券、昨日高振幅、液冷概念、深股通、近期新高、食品安全、台资控股、昨日触板、包装、半导体概念、数据中心、小盘股、趋势股、历史新高 、中芯概念、光刻机/胶、百日新高 、海峡两岸、创业板综、昨日炸板、OLED、小盘成长,11.790,97.33,81.60,17.68,1.94,5084.98万,179.22,17.6320,378.85亿,267.21亿
17,300749,顶固集创,27.49,14.21,A股,5.96亿,轻工制造-家居用品-定制家居,轻工制造-家居用品-定制家居,火箭发射、海工装备、2025年报扭亏、昨日高振幅、智能家居、人工智能、创业板综、蓝箭航天、商业航天、反转股、小红书概念,3.420,28.42,23.20,14.28,2.07,2247.21万,-76.05,10.2423,56.40亿,43.27亿
18,300088,长信科技,11.67,13.41,A股,71.81亿,电子-光学光电子-面板,电子-光学光电子-面板,LED概念、深成500、昨日高换手、智能穿戴、OLED、富时罗素、题材股、中越经济一体化、融资融券、华为汽车、显示技术、昨日触板、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、石墨烯、昨日炸板、大数据、安徽三资改革、电子纸概念、东数西算、昨日高振幅、元宇宙概念、新能源车、车联网、柔性屏、华为概念、小米概念、消费电子概念、电池技术、固态电池、算力租赁、MicroLED、央国企改革、百日新高 、荣耀概念、混合现实、AI手机、深股通、算力概念、近期新高、虚拟现实、智能座舱、小盘股、锂电池概念、一带一路、比亚迪概念、创业板综、小盘成长、汽车电子、3D玻璃、特斯拉概念,1.380,12.35,10.46,24.88,1.50,6.18亿,152.07,3.4056,291.49亿,290.06亿
19,920438,戈碧迦,163.01,13.20,A股,17.97亿,电子-光学光电子-光学元件,电子-光学光电子-光学元件,军工、国产芯片、专精特新、6G概念、融资融券、海工装备、昨日高振幅、近期新高、2025年报预减、商业航天、先进封装、核污染防治、PCB、趋势股、消费电子概念、玻璃基板、核能核电、历史新高 、比亚迪概念、百日新高 、先进封装材料、无人驾驶,19.010,176.66,140.00,8.03,1.03,1118.92万,514.68,24.1049,237.14亿,227.23亿
20,300592,华凯易佰,16.93,12.94,A股,4.86亿,商贸零售-互联网电商-跨境电商,商贸零售-互联网电商-跨境电商,昨日高振幅、深股通、近期新高、虚拟现实、贬值受益、无人机、元宇宙概念、AIGC概念、华为盘古、ChatGPT概念、AI智能体、华为概念、互联网服务、智能穿戴、消费电子概念、电商概念、跨境电商、百日新高 、AI应用、人工智能、创业板综、Shopee电商,1.940,17.20,14.70,8.54,0.88,2979.12万,23.92,2.8581,68.46亿,59.06亿
