序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.23,成交额(元) 2026.06.23,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
1,603986,兆易创新,770.00,-0.67,A股,-7.06,390.90亿,374.18亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、存储芯片、标准普尔、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,-5.210,779.00,732.52,7.39,0.88,4939.26万,92.45,21.8009,5403.47亿,5147.39亿
2,300308,中际旭创,1253.89,-5.25,A股,-5.23,389.64亿,444.81亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-69.510,1296.94,1235.13,3.18,1.18,3528.11万,60.96,40.3656,1.40万亿,1.39万亿
3,300502,新易盛,566.00,-7.29,A股,-4.82,248.86亿,352.83亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、趋势股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,-44.490,598.00,550.00,4.93,1.27,6177.33万,70.96,40.6499,7891.49亿,7099.02亿
4,300059,东方财富,20.07,-4.93,A股,-0.33,234.94亿,127.55亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-1.040,21.17,20.02,4.66,0.75,6.23亿,21.24,3.3683,3175.52亿,2680.01亿
5,600487,亨通光电,110.81,-9.91,A股,-2.35,219.13亿,227.20亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,国产芯片、海工装备、东方财富热股、大盘成长、无人驾驶、量子通信、富时罗素、物联网、机器人概念、题材股、军工、融资融券、液冷概念、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、CPO概念、毫米波概念、DeepSeek概念、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、沪股通、智慧城市、大盘股、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,-12.190,120.00,110.70,8.13,1.12,1.99亿,61.81,8.6115,2733.01亿,2709.51亿
6,688008,澜起科技,261.82,-6.21,A股,-7.87,205.36亿,200.75亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,-17.340,276.97,257.02,6.59,0.96,7550.02万,94.41,15.3507,3199.96亿,3001.57亿
7,688256,寒武纪,1458.00,-3.12,A股,-3.02,200.02亿,182.44亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、汽车芯片、阿里系算力,-47.000,1518.98,1415.00,1.98,0.77,1243.52万,226.03,74.8479,9160.51亿,9160.51亿
8,600522,中天科技,61.29,-10.00,A股,3.52,199.68亿,248.99亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、趋势股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,-6.810,66.48,61.29,11.59,1.30,3.95亿,56.91,5.5029,2091.80亿,2091.80亿
9,000725,京东方Ａ,7.79,3.59,A股,-2.31,198.95亿,356.77亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、趋势股、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、钙钛矿电池、工业互联、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、百日新高 、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、近期新高、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,0.270,8.24,7.36,12.79,1.27,45.25亿,42.26,2.1531,2885.75亿,2755.10亿
10,600584,长电科技,100.89,-3.15,A股,-5.63,195.26亿,352.29亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、昨日高换手、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,-3.280,109.33,100.68,18.77,1.57,3.36亿,155.49,6.3152,1805.34亿,1805.34亿
11,002384,东山精密,260.32,-5.61,A股,-5.74,186.27亿,181.83亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、通信技术、创投、消费电子概念、智能穿戴、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,-15.480,271.88,256.00,4.98,0.91,6907.75万,107.40,21.0624,4768.04亿,3608.87亿
12,601138,工业富联,70.22,-8.79,A股,-6.06,183.13亿,189.33亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、标准普尔、深圳特区、新型工业化、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-6.770,75.00,70.00,1.32,0.95,2.62亿,32.88,7.9075,1.39万亿,1.39万亿
13,002475,立讯精密,68.00,-8.63,A股,1.40,181.10亿,233.14亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、粤港澳大湾区、5G概念、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,-6.420,71.50,67.05,4.66,1.26,3.40亿,34.00,5.6324,4976.42亿,4965.04亿
14,300476,胜宏科技,319.55,-8.74,A股,-7.44,180.44亿,180.16亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,-30.610,341.00,318.98,6.36,1.16,5505.52万,60.94,20.0492,3140.49亿,2764.73亿
15,002008,大族激光,151.27,-1.00,A股,9.99,172.37亿,199.61亿,机械设备-自动化设备-激光设备,大族激光,机械设备-自动化设备-激光设备,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、新型工业化、宁德时代概念、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、中盘成长、昨日触板、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、昨日炸板、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、先进制造风格、华为概念、小米概念、TOPCON电池、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、机器视觉、锂电池概念、比亚迪概念、HJT电池、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,-1.530,168.08,151.00,13.19,1.25,1.26亿,109.97,7.6114,1557.48亿,1447.24亿
16,600183,生益科技,178.50,-4.65,A股,-9.01,171.18亿,126.98亿,电子-元件-印制电路板,生益科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、趋势股、HS300_、大盘成长、2025三季报预增、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,-8.700,182.30,171.69,2.99,0.84,7147.70万,93.60,27.1262,4335.98亿,4274.19亿
17,688525,佰维存储,501.05,4.32,A股,-4.14,155.47亿,224.48亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、大盘成长、信创、百日新高 、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、题材股、融资融券、AI眼镜、近期新高、沪股通、半导体概念、先进封装、大盘股、数据中心、历史新高 、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,20.750,517.00,465.20,9.85,1.08,4647.11万,20.38,28.0037,2362.78亿,2362.78亿
18,300750,宁德时代,381.00,-5.20,A股,-4.03,149.58亿,181.34亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-20.900,409.81,381.00,1.09,1.15,4652.53万,21.25,5.3937,1.76万亿,1.62万亿
19,002428,云南锗业,120.48,-7.39,A股,1.29,147.39亿,122.88亿,有色金属-小金属-其他小金属,云南锗业,有色金属-小金属-其他小金属,国产芯片、中盘股、西部大开发、昨日高振幅、光通信模块、第三代半导体、深成500、华为概念、通信技术、东方财富热股、昨日高换手、小金属概念、富时罗素、题材股、军工、稀缺资源、融资融券、深股通、中盘成长、2025年报预减、商业航天、金属回收、半导体概念、光伏概念、氟化工概念、卫星导航、光纤概念,-9.620,132.86,118.54,15.20,1.05,9926.25万,2160.07,53.7977,786.88亿,786.78亿
20,000657,中钨高新,99.51,-5.84,A股,-5.38,147.07亿,96.92亿,有色金属-小金属-钨,中钨高新,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、创投、趋势股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、题材股、军工、金属铜、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,-6.170,109.68,99.00,6.45,0.87,9369.42万,61.54,22.3173,2267.44亿,1445.81亿
21,300394,天孚通信,318.00,-7.01,A股,-4.62,144.30亿,156.62亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,-23.970,334.68,316.80,4.43,0.86,4819.33万,176.18,63.4531,3468.82亿,3461.07亿
22,300475,香农芯创,301.00,-1.71,A股,-1.49,141.50亿,134.01亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、粤港澳大湾区、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,-5.250,317.88,298.53,9.71,0.87,4369.65万,26.62,28.6458,1413.32亿,1354.61亿
23,601899,XD紫金矿,25.10,-1.72,A股,-8.84,140.86亿,89.39亿,有色金属-工业金属-铜,紫金矿业,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、黄金加工、标准普尔、黄金开采、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,-0.440,25.90,24.86,1.71,0.84,3.53亿,8.31,3.5225,6674.27亿,5171.05亿
24,600176,中国巨石,74.12,4.69,A股,0.94,140.52亿,166.28亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、百日新高 、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、近期新高、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、历史新高 、一带一路、中欧经济一体化、风能、长江三角,3.320,77.20,70.12,5.67,1.04,2.27亿,58.54,9.4095,2967.13亿,2967.13亿
25,301308,江波龙,679.60,0.34,A股,-3.27,133.30亿,166.00亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、国家大基金持股、贬值受益、长江存储、存储芯片、深成500、华为概念、小米概念、东方财富热股、消费电子概念、智能穿戴、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.300,690.50,650.00,8.78,1.06,2475.81万,18.61,24.1484,2875.12亿,1915.47亿
26,688981,中芯国际,148.76,-5.16,A股,-2.67,132.12亿,161.72亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、科技风格、OLED、物联网、MSCI中国、汽车电子、上海自贸,-8.100,156.22,146.50,5.38,0.92,1.08亿,233.89,8.5009,1.27万亿,2974.55亿
27,601869,长飞光纤,543.00,-5.57,A股,10.00,129.29亿,86.05亿,通信-通信设备-通信线缆及配套,长飞光纤,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、专精特新、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、抖音概念、工业互联、第三代半导体、标准普尔、铜缆高速连接、通信技术、趋势股、创投、空芯光纤、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、量子科技、机器人概念、融资融券、超清视频、上证380、中证500、沪股通、特高压、大盘股、碳化硅、数据中心、人形机器人、光纤概念、一带一路、智能电网、太赫兹、风能,-32.000,582.00,533.00,3.84,0.92,1558.35万,226.99,31.5876,4495.52亿,2206.42亿
28,001309,德明利,951.00,6.73,A股,2.43,129.04亿,199.76亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、粤港澳大湾区、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、贬值受益、长江存储、存储芯片、深成500、最近多板、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、百日新高 、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、数据中心、历史新高 、汽车电子,60.000,980.00,872.31,13.56,1.26,2187.35万,16.12,32.5711,2157.30亿,1534.21亿
29,300274,阳光电源,151.05,-1.05,A股,-7.01,127.77亿,117.24亿,电力设备-光伏设备-逆变器,阳光电源,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-1.610,159.98,150.40,4.77,1.01,7577.90万,34.17,6.6291,3131.59亿,2397.96亿
