序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.23,成交额(元) 2026.06.23,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
30,000988,华工科技,160.94,-7.28,A股,-6.30,127.38亿,110.14亿,机械设备-自动化设备-激光设备,华工科技,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、铜缆高速连接、AI智能体、新型工业化、宁德时代概念、东方财富热股、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、昨日高振幅、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、6G概念、大飞机、数字孪生、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、锂电池概念、比亚迪概念、6G元器件、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,-12.640,171.87,160.00,6.65,0.92,6679.32万,63.37,14.1474,1618.26亿,1617.42亿
31,300604,长川科技,314.90,1.58,A股,4.06,127.02亿,112.88亿,电子-半导体-半导体设备,长川科技,电子-半导体-半导体设备,国产芯片、专精特新、融资融券、两岸合作、深股通、国家大基金持股、中证500、半导体概念、存储芯片、深成500、大盘股、东方财富热股、大盘成长、2025三季报预增、海峡两岸、创业板综、科技风格、2025年报预增、MSCI中国,4.910,332.00,310.95,7.18,1.06,3515.54万,141.67,39.7196,1997.78亿,1541.35亿
32,688012,中微公司,413.00,3.48,A股,-0.27,124.17亿,131.53亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、百日新高 、科技风格、富时罗素、MSCI中国、宁组合、融资融券、近期新高、沪股通、半导体概念、大盘股、先进封装、上证50_、历史新高 、股权激励、先进封装设备、长江三角、MiniLED,13.870,423.80,393.24,3.41,1.08,3195.23万,105.71,15.2755,3934.59亿,3891.27亿
33,300285,国瓷材料,102.81,4.48,A股,-8.21,121.15亿,141.96亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,国瓷材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、昨日高振幅、新能源车、3D打印、深成500、节能环保、宁德时代概念、东方财富热股、电池技术、趋势股、消费电子概念、固态电池、百日新高 、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、题材股、融资融券、深股通、近期新高、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、历史新高 、卫星导航、比亚迪概念、锂电池概念、创业板综,4.410,105.99,93.87,16.55,0.99,1.41亿,180.13,14.4153,1025.07亿,877.66亿
34,002281,光迅科技,240.34,-8.08,A股,-3.33,117.57亿,135.28亿,通信-通信设备-通信网络设备及器件,光迅科技,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、通信技术、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,-21.120,256.27,237.00,7.07,1.10,5518.18万,207.24,14.3866,1988.97亿,1875.85亿
35,002463,沪电股份,147.28,-4.97,A股,-4.65,116.31亿,121.99亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、趋势股、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,-7.710,155.25,143.26,4.27,0.95,8212.34万,57.05,17.9066,2834.20亿,2831.92亿
36,600111,北方稀土,47.26,-3.94,A股,-7.76,116.30亿,50.13亿,有色金属-小金属-稀土,北方稀土,有色金属-小金属-稀土,专精特新、周期股、西部大开发、上证180_、标准普尔、电池技术、HS300_、2025三季报预增、2026一季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国、军工、稀土永磁、稀缺资源、融资融券、行业龙头、沪股通、金属回收、大盘股、冶炼分离、稀土开采、氢能源、上证50_、新材料、锂电池概念,-1.940,48.89,47.08,2.90,0.59,1.05亿,46.54,6.8030,1708.48亿,1708.48亿
37,600498,烽火通信,76.22,-10.00,A股,0.23,114.25亿,92.10亿,通信-通信设备-通信网络设备及器件,烽火通信,通信-通信设备-通信网络设备及器件,国产芯片、国资云概念、中盘股、海工装备、AI智能体、空芯光纤、华为昇腾、富时罗素、华为鲲鹏、数据要素、题材股、智慧政务、融资融券、液冷概念、中盘成长、上证380、F5G概念、商业航天、特高压、网络安全、华为系算力、数据中心、卫星导航、光纤概念、汽车芯片、智能医疗、湖北三资改革、大数据、湖北自贸、光纤光缆、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、光通信模块、数字乡村、标准普尔、通信技术、创投、央国企改革、CPO概念、DeepSeek概念、人工智能、科技风格、MCU芯片、MSCI中国、卫星互联网、云计算、数据安全、6G概念、算力概念、中证500、沪股通、智慧城市、一带一路、中特估、WiFi6,-8.470,83.98,76.22,9.27,0.95,1.18亿,674.09,5.8911,1035.20亿,969.23亿
38,688041,海光信息,344.90,-4.27,A股,-3.10,111.97亿,138.18亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,-15.380,358.00,337.93,1.71,0.83,3977.07万,291.69,34.6300,8016.64亿,8016.64亿
39,002837,英维克,82.57,-5.08,A股,5.41,111.89亿,63.35亿,机械设备-专用设备-其他专用设备,英维克,机械设备-专用设备-其他专用设备,粤港澳大湾区、5G概念、东数西算、深证100R、新能源车、抖音概念、深圳特区、深成500、先进制造风格、华为概念、通信技术、HS300_、大盘成长、UQD连接器、腾讯概念、储能概念、CDU、中国AI 50、MSCI中国、阿里概念、军工、融资融券、液冷概念、充电桩、深股通、字节系算力、大盘股、数据中心、英伟达概念、比亚迪概念、腾讯云、高铁、冷链物流,-4.420,85.58,81.00,6.73,0.78,7607.26万,3038.46,31.8901,1052.23亿,933.42亿
40,600030,中信证券,27.74,-4.28,A股,-1.12,111.78亿,82.05亿,非银金融-证券Ⅱ-证券Ⅲ,中信证券,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,-1.240,29.16,27.71,2.38,0.82,2.90亿,10.06,1.4403,4111.22亿,3377.78亿
41,603993,洛阳钼业,17.24,-4.59,A股,-9.98,111.27亿,59.21亿,有色金属-工业金属-铜,洛阳钼业,有色金属-工业金属-铜,镍矿、周期股、昨日高振幅、上证180_、贬值受益、金属钴、标准普尔、宁德时代概念、黄金开采、HS300_、盐湖提锂、磷化工、小金属概念、钴矿、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、权重股、稀缺资源、融资融券、沪股通、大盘股、金属镍、铜矿、上证50_、金属钨,-0.830,18.42,17.16,1.93,0.68,3.37亿,11.88,4.4574,3688.38亿,3010.25亿
42,600549,厦门钨业,84.50,-1.58,A股,-9.60,110.63亿,80.77亿,有色金属-小金属-钨,厦门钨业,有色金属-小金属-钨,昨日高振幅、上证180_、金属钴、标准普尔、宁德时代概念、电池技术、趋势股、HS300_、固态电池、央国企改革、独角兽、小金属概念、富时罗素、MLCC、MSCI中国、机器人概念、动力电池回收、军工、稀土永磁、福建自贸区、稀缺资源、融资融券、无人机、偏滤器、沪股通、商业航天、大盘股、稀土开采、氢能源、光伏概念、新材料、可控核聚变、金属钨、锂电池概念、海峡两岸,-1.360,89.68,83.62,6.03,0.78,9367.33万,30.30,7.5941,1341.51亿,1313.07亿
43,600703,三安光电,21.73,0.28,A股,2.80,110.06亿,120.74亿,电子-光学光电子-LED,三安光电,电子-光学光电子-LED,国产芯片、LED概念、周期股、数字经济、国家大基金持股、氮化镓、东方财富热股、大盘成长、无人驾驶、富时罗素、题材股、融资融券、低空经济、华为汽车、太空光伏、商业航天、金属回收、半导体概念、碳化硅、苹果概念、先进封装、数据中心、光伏概念、卫星导航、汽车芯片、MiniLED、光芯片、5G概念、昨日高振幅、光通信模块、新能源车、第三代半导体、标准普尔、小米概念、通信技术、消费电子概念、巨量转移、MicroLED、荣耀概念、CPO概念、科技风格、MSCI中国、安防概念、福建自贸区、宁组合、AI眼镜、充电桩、沪股通、大盘股、蓝宝石、MicroLED芯片、比亚迪概念、海峡两岸、植物照明,0.060,23.18,21.41,10.89,1.26,5.43亿,401.57,3.1063,1084.11亿,1084.11亿
44,002407,多氟多,41.51,-5.21,A股,-2.02,108.97亿,71.95亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-2.280,44.68,41.35,15.57,0.80,1.68亿,32.90,5.7868,494.15亿,447.80亿
45,300033,同花顺,242.00,-6.56,A股,1.09,106.56亿,66.93亿,计算机-软件开发-垂直应用软件,同花顺,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、深证100R、证金持股、深成500、AI智能体、HS300_、大盘成长、互联网金融、AI应用、人工智能、科技风格、富时罗素、2025年报预增、AI语料、MSCI中国、云计算、数据要素、融资融券、行业龙头、深股通、虚拟机器人、AIGC概念、ChatGPT概念、券商概念、大盘股、国产软件、创业板综、智能医疗、长江三角、大数据,-17.000,259.47,241.26,6.14,0.83,2692.82万,177.91,42.8779,1821.39亿,1060.95亿
46,300433,蓝思科技,55.59,-0.23,A股,-0.91,103.01亿,103.38亿,电子-消费电子-消费电子零部件及组装,蓝思科技,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、趋势股、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、题材股、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,-0.130,57.48,53.00,3.74,0.89,1.86亿,-490.38,5.6020,2934.45亿,2762.66亿
47,300408,三环集团,160.05,-2.18,A股,-6.80,100.48亿,119.36亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、趋势股、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,-3.570,164.49,154.90,4.00,0.98,7481.57万,96.96,14.2425,3067.35亿,2992.62亿
48,002156,通富微电,71.60,-7.98,A股,-3.97,98.64亿,146.24亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,-6.210,77.83,71.56,12.97,1.07,1.97亿,82.55,6.9943,1086.60亿,1086.50亿
49,688498,源杰科技,1776.91,-5.23,A股,-2.95,97.64亿,86.93亿,电子-半导体-分立器件,源杰科技,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、趋势股、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,-98.090,1834.72,1730.00,3.96,1.08,486.20万,308.21,89.7556,2212.26亿,2183.68亿
50,300223,北京君正,233.21,-1.75,A股,0.65,95.49亿,137.41亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、最近多板、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、题材股、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-4.150,242.00,229.00,13.83,1.11,5831.40万,88.40,8.8973,1127.95亿,983.43亿
51,300857,协创数据,332.47,-2.78,A股,-3.25,94.40亿,70.52亿,电子-消费电子-消费电子零部件及组装,协创数据,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、东数西算、5G概念、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、大盘股、人形机器人、创业板综、汽车电子、EDR概念,-9.510,345.28,326.01,4.33,0.68,2109.33万,54.21,31.7829,1626.99亿,1618.66亿
52,002436,兴森科技,51.81,-3.21,A股,-9.01,91.34亿,74.22亿,电子-元件-印制电路板,兴森科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、通信技术、互联网金融、高带宽内存、毫米波概念、CPO概念、科技风格、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,-1.720,54.79,49.92,9.36,0.74,1.42亿,1174.47,16.6579,880.60亿,786.44亿
53,600105,永鼎股份,65.71,-9.94,A股,-1.90,89.52亿,103.21亿,通信-通信设备-通信线缆及配套,永鼎股份,通信-通信设备-通信线缆及配套,国产芯片、光纤光缆、光芯片、专精特新、中盘股、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、3D打印、磁悬浮概念、标准普尔、华为概念、通信技术、东方财富热股、趋势股、核能核电、CPO概念、科技风格、富时罗素、超导材料、2025年报预增、MSCI中国、题材股、数据安全、军工、融资融券、低空经济、华为汽车、中盘成长、中证500、沪股通、商业航天、网络安全、数据中心、超导概念、可控核聚变、一带一路、光纤概念、比亚迪概念、3D打印设备、长江三角、风能、参股银行、大数据,-7.250,73.90,65.66,10.43,1.09,1.52亿,151.22,29.1443,960.68亿,960.68亿
54,000636,风华高科,78.50,-1.41,A股,-3.80,88.60亿,111.87亿,电子-元件-被动元件,风华高科,电子-元件-被动元件,粤港澳大湾区、中盘股、5G概念、东数西算、高压快充、深成500、华为概念、最近多板、通信技术、东方财富热股、电池技术、趋势股、创投、智能穿戴、央国企改革、CPO概念、超级电容、科技风格、小金属概念、MLCC、机器人概念、题材股、融资融券、低空经济、AI眼镜、液冷概念、深股通、虚拟机器人、无人机、中盘成长、商业航天、被动元件概念、光伏概念、卫星导航、锂电池概念、比亚迪概念、传感器、汽车电子,-1.120,80.53,77.34,12.27,1.02,1.42亿,256.40,7.2760,908.26亿,908.26亿
55,603083,剑桥科技,245.92,-5.56,A股,1.01,87.61亿,59.84亿,通信-通信设备-通信终端及配件,剑桥科技,通信-通信设备-通信终端及配件,中盘股、5G概念、昨日高振幅、贬值受益、光通信模块、工业互联、新型工业化、华为概念、通信技术、信创、智能家居、边缘计算、CPO概念、科技风格、2025年报预增、物联网、MSCI中国、融资融券、液冷概念、中盘成长、上证380、F5G概念、沪股通、一带一路、股权激励、WiFi6、WiFi,-14.480,259.88,242.50,8.68,0.73,2393.17万,191.33,12.1331,905.60亿,677.73亿
56,600460,士兰微,50.38,1.04,A股,5.00,86.67亿,95.39亿,电子-半导体-分立器件,士兰微,电子-半导体-分立器件,国产芯片、LED概念、中盘股、共同富裕示范区、IGBT概念、昨日高振幅、国家大基金持股、新能源车、第三代半导体、氮化镓、标准普尔、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、OLED、富时罗素、MCU芯片、2025年报预增、MSCI中国、题材股、融资融券、中盘成长、上证380、沪股通、半导体概念、碳化硅、先进封装、光伏概念、比亚迪概念、汽车芯片、长江三角、风能、传感器、汽车电子、MiniLED,0.520,53.80,49.33,11.17,1.09,1.86亿,100.36,6.8735,838.36亿,838.36亿
57,000960,锡业股份,42.58,-4.14,A股,-7.54,86.28亿,55.46亿,有色金属-小金属-其他小金属,锡业股份,有色金属-小金属-其他小金属,金属铜、中盘价值、中盘股、稀缺资源、融资融券、西部大开发、昨日高振幅、深股通、化债概念、中证500、标准普尔、深成500、东方财富热股、金属锌、金属钨、2026一季报预增、央国企改革、金属铅、小金属概念、富时罗素、MSCI中国、金属铟,-1.840,46.70,42.50,7.64,0.88,1.26亿,20.19,3.4499,700.62亿,700.62亿
58,301217,铜冠铜箔,170.30,-7.08,A股,-12.56,84.42亿,96.80亿,电力设备-电池-锂电池,铜冠铜箔,电力设备-电池-锂电池,题材股、中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、PET铜箔、宁德时代概念、锂电铜箔、PCB、先进制造风格、电池技术、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,-12.970,176.00,160.96,6.93,1.15,5741.27万,331.89,25.6643,1411.81亿,1411.81亿
59,002938,鹏鼎控股,110.98,-2.77,A股,-5.38,84.01亿,54.89亿,电子-元件-印制电路板,鹏鼎控股,电子-元件-印制电路板,周期股、两岸合作、深证100R、AIPC、昨日高振幅、贬值受益、光通信模块、新能源车、标准普尔、深圳特区、深成500、华为概念、通信技术、智能穿戴、消费电子概念、HS300_、AI手机结构件、CPO概念、无人驾驶、科技风格、富时罗素、富士康概念、MSCI中国、AI手机、融资融券、AI眼镜、深股通、虚拟现实、智能座舱、商业航天、半导体概念、大盘股、苹果概念、PCB、人形机器人、海峡两岸、无线耳机、汽车电子、MiniLED、通信PCB,-3.160,117.00,108.29,2.11,0.73,4878.15万,138.96,7.9549,2572.00亿,2562.95亿
60,000063,中兴通讯,35.67,-7.21,A股,-3.60,83.07亿,85.38亿,通信-通信设备-通信网络设备及器件,中兴通讯,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、区块链、多模态AI、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、量子通信、中国AI 50、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、大盘价值、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、东数西算、IPv6、通感一体化、证金持股、元宇宙概念、DPU、新能源车、水利建设、车联网、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、比亚迪概念、锂电池概念、海峡两岸、太赫兹、汽车电子,-2.770,37.79,35.67,5.82,1.04,2.35亿,32.55,2.2250,1706.29亿,1436.65亿
61,300136,信维通信,118.19,1.25,A股,-3.87,82.79亿,138.22亿,电子-消费电子-消费电子零部件及组装,信维通信,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、虚拟现实、卫星通信、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,1.460,121.40,113.12,14.24,0.99,1.17亿,272.57,14.3395,1143.57亿,975.30亿
