序号,代码,名称,最新价(元) 10:29,涨跌幅(%) 10:29,证券类型,涨跌幅(%) 2026.07.08,成交额(元) 2026.07.08,成交额(元) 10:29,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:29,最高价(元) 10:29,最低价(元) 10:29,换手率(%) 10:29,量比 10:29,成交量(股) 10:29,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
1,300308,中际旭创,1170.47,-2.04,A股,0.57,363.23亿,220.41亿,通信-通信设备-通信网络设备及器件,中际旭创,通信-通信设备-通信网络设备及器件,国产芯片、数据中心液冷、5G概念、深证100R、贬值受益、光通信模块、深成500、节能环保、通信技术、东方财富热股、创投、HS300_、大盘成长、CPO概念、无人驾驶、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国、激光雷达、权重股、融资融券、行业龙头、液冷概念、深股通、算力概念、F5G概念、大盘股、数据中心、创业板综、汽车电子,-24.430,1218.00,1166.50,1.67,2.29,1851.29万,56.99,37.7323,1.31万亿,1.30万亿
2,603986,兆易创新,680.68,2.59,A股,-2.71,354.94亿,295.72亿,电子-半导体-数字芯片设计,兆易创新,电子-半导体-数字芯片设计,国产芯片、上证180_、贬值受益、2026中报预增、存储芯片、标准普尔、小米概念、最近多板、东方财富热股、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、题材股、融资融券、AI眼镜、昨日首板、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、上证50_、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、DRAM存储、汽车电子,17.190,707.97,675.83,6.37,2.93,4261.23万,81.72,19.2725,4776.78亿,4550.42亿
3,000725,京东方Ａ,8.07,-0.98,A股,0.66,253.45亿,146.54亿,电子-光学光电子-面板,京东方A,电子-光学光电子-面板,国产芯片、屏下摄像、LED概念、周期股、深证100R、AIPC、深成500、东方财富热股、智能穿戴、AI应用、OLED、富时罗素、物联网、机器人概念、题材股、AB股、民营医院、融资融券、行业龙头、显示技术、超清视频、苹果概念、先进封装、光伏概念、玻璃基板、智慧灯杆、光纤概念、裸眼3D、新零售、智能医疗、MiniLED、电子纸概念、昨日高振幅、新能源车、钙钛矿电池、工业互联、2026中报预增、标准普尔、柔性屏、华为概念、小米概念、长安汽车概念、消费电子概念、HS300_、巨量转移、MicroLED、央国企改革、荣耀概念、CPO概念、人工智能、混合现实、科技风格、MSCI中国、医疗器械概念、AI眼镜、深股通、虚拟电厂、充电桩、医美概念、虚拟现实、智能座舱、智慧城市、大盘股、UWB概念、电子竞技、传感器、光伏建筑一体化,-0.080,8.34,8.01,5.08,2.02,17.98亿,43.78,2.2305,2989.48亿,2854.13亿
4,300502,新易盛,556.12,1.95,A股,0.15,230.33亿,136.81亿,通信-通信设备-通信网络设备及器件,新易盛,通信-通信设备-通信网络设备及器件,国产芯片、权重股、5G概念、融资融券、深证100R、西部大开发、深股通、算力概念、贬值受益、光通信模块、深成500、大盘股、通信技术、数据中心、东方财富热股、HS300_、大盘成长、CPO概念、创业板综、中国AI 50、科技风格、富时罗素、2025年报预增、MSCI中国,10.620,570.98,548.00,1.95,2.07,2444.64万,69.72,39.9410,7753.88亿,6975.22亿
5,002384,东山精密,266.70,2.06,A股,0.29,228.02亿,158.12亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、AI手机、机器人概念、题材股、融资融券、深股通、昨日首板、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,5.380,274.50,262.50,4.23,2.34,5867.83万,110.04,21.5810,4885.45亿,3697.74亿
6,600584,长电科技,110.70,6.94,A股,-6.81,199.14亿,163.60亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、昨日首板、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,7.180,113.87,107.77,8.22,2.86,1.47亿,170.85,6.9393,1983.74亿,1983.74亿
7,688256,寒武纪,1565.04,1.96,A股,1.84,167.75亿,97.10亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,30.030,1569.97,1512.00,1.01,2.08,631.83万,242.61,80.3408,9832.79亿,9832.79亿
8,000938,紫光股份,39.25,10.01,A股,6.80,164.15亿,96.10亿,计算机-IT服务Ⅱ-IT服务Ⅲ,紫光股份,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、国资云概念、区块链、深证100R、数字经济、OCS交换机、抖音概念、参股新三板、深成500、AI智能体、东方财富热股、昨日高换手、趋势股、AI应用、国产操作系统、中国AI 50、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、智慧政务、融资融券、液冷概念、AIGC概念、网络安全、数据中心、英伟达概念、大数据、5G概念、东数西算、IPv6、昨日高振幅、车联网、数字乡村、标准普尔、通信技术、创投、HS300_、数据存储、算力租赁、百日新高 、CPO概念、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、数据安全、安防概念、6G概念、数字孪生、微通道水冷板、深股通、算力概念、近期新高、IaaS、智慧城市、大盘股、互联网服务、WiFi6、WiFi,3.570,39.25,36.20,8.83,2.87,2.52亿,35.62,7.3174,1122.58亿,1122.58亿
9,688981,中芯国际,173.07,0.04,A股,4.59,150.91亿,94.29亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、昨日高振幅、上证180_、国家大基金持股、存储芯片、东方财富热股、消费电子概念、HS300_、中芯概念、科创板做市股、百日新高 、中国AI 50、科技风格、OLED、物联网、MSCI中国、上海自贸、题材股、权重股、融资融券、行业龙头、近期新高、沪股通、半导体概念、大盘股、上证50_、历史新高 、茅指数、汽车电子,0.070,176.34,168.80,2.72,2.27,5445.04万,272.11,9.8902,1.48万亿,3460.64亿
10,002185,华天科技,26.10,9.99,A股,-1.64,148.12亿,13.85亿,电子-半导体-集成电路封测,华天科技,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,2.370,26.10,26.10,1.60,0.45,5307.41万,249.87,4.8610,867.41亿,867.21亿
11,688008,澜起科技,288.41,0.91,A股,-2.39,128.23亿,117.01亿,电子-半导体-数字芯片设计,澜起科技,电子-半导体-数字芯片设计,国产芯片、AIPC、昨日高振幅、上证180_、贬值受益、CPU、存储芯片、AI芯片、东方财富热股、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、科技风格、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、题材股、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,2.610,297.96,285.09,3.50,2.43,4001.15万,103.85,16.8867,3520.15亿,3301.62亿
12,600487,亨通光电,81.98,2.40,A股,-4.86,127.90亿,134.42亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、东方财富热股、创投、大盘成长、CPO概念、毫米波概念、DeepSeek概念、量子通信、无人驾驶、科技风格、富时罗素、物联网、海底电缆、MSCI中国、机器人概念、电网概念、量子科技、军工、6G概念、融资融券、液冷概念、F5G概念、沪股通、特高压、智慧城市、大盘股、网络安全、数据中心、小米汽车、人形机器人、一带一路、光纤概念、智能电网、太赫兹、长江三角、风能、柔性直流输电、大数据,1.920,86.39,80.80,6.56,3.42,1.61亿,45.73,6.3710,2021.95亿,2011.50亿
13,688525,佰维存储,416.79,-0.50,A股,-6.77,125.30亿,70.94亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,-2.090,430.00,413.05,3.55,1.88,1674.42万,16.95,23.2938,1965.40亿,1965.40亿
14,603019,中科曙光,112.79,8.46,A股,4.97,119.01亿,92.51亿,计算机-计算机设备-其他计算机设备,中科曙光,计算机-计算机设备-其他计算机设备,国产芯片、区块链、数字经济、上证180_、抖音概念、冷却液、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、边缘计算、独角兽、国产操作系统、中国AI 50、量子通信、中字头、富时罗素、题材股、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、昨日高振幅、工业互联、标准普尔、创投、HS300_、信创、VPN、算力租赁、百度概念、央国企改革、DeepSeek概念、人工智能、科技风格、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、智谱AI,8.800,112.80,102.70,5.86,3.68,8577.85万,181.07,7.5011,1650.25亿,1650.18亿
15,601138,工业富联,68.94,-0.85,A股,3.50,118.93亿,79.33亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、2026中报预增、标准普尔、深圳特区、新型工业化、东方财富热股、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-0.590,71.00,68.01,0.58,3.25,1.14亿,32.27,7.7611,1.37万亿,1.37万亿
16,002371,北方华创,888.01,1.09,A股,-0.50,118.41亿,72.42亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、题材股、宁组合、权重股、华为海思、融资融券、深股通、半导体概念、大盘股、光伏概念、锂电池概念、茅指数,9.580,905.00,872.84,1.12,2.15,811.03万,98.66,16.6524,6451.38亿,6446.23亿
17,001309,德明利,846.99,-1.57,A股,-3.06,115.92亿,66.05亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、长江存储、贬值受益、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、中证500、半导体概念、大盘股、数据中心、汽车电子,-13.490,878.99,842.00,4.64,1.77,765.74万,14.35,28.9989,1920.70亿,1397.63亿
18,600176,中国巨石,59.10,0.68,A股,-6.57,115.06亿,90.73亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、一带一路、中欧经济一体化、风能、长江三角,0.400,63.00,58.00,3.76,2.63,1.49亿,46.70,7.5065,2367.05亿,2348.40亿
19,688012,中微公司,482.00,2.21,A股,0.70,114.83亿,81.76亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、东方财富热股、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、题材股、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,10.410,492.05,468.10,1.80,2.27,1700.45万,123.50,16.7968,4596.61亿,4546.01亿
20,300408,三环集团,135.50,1.26,A股,-6.84,114.68亿,57.74亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,1.690,144.49,134.18,2.22,2.28,4149.24万,85.17,12.5105,2694.35亿,2534.33亿
21,300394,天孚通信,282.96,4.22,A股,0.65,107.29亿,97.13亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、东方财富热股、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,11.460,291.80,279.99,3.11,2.97,3388.21万,156.74,56.4493,3085.94亿,3079.05亿
22,688041,海光信息,386.59,6.36,A股,0.12,105.89亿,114.38亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、趋势股、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,23.130,395.17,365.87,1.29,3.55,3001.20万,327.02,38.8249,8987.75亿,8987.75亿
23,600522,中天科技,47.66,1.10,A股,-5.10,101.86亿,94.80亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,0.520,49.78,47.17,5.73,3.12,1.95亿,44.24,4.3804,1626.27亿,1626.27亿
24,301308,江波龙,623.79,0.61,A股,-5.60,101.55亿,64.07亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、2026中报预增、存储芯片、深成500、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,3.790,645.09,620.00,3.59,1.92,1012.82万,17.09,22.1724,2639.86亿,1758.73亿
25,688347,华虹宏力,393.97,-1.63,A股,10.62,100.02亿,64.93亿,电子-半导体-集成电路制造,华虹宏力,电子-半导体-集成电路制造,题材股、国产芯片、融资融券、昨日高振幅、近期新高、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、趋势股、消费电子概念、大盘成长、历史新高 、央国企改革、百日新高 、科技风格、MSCI中国、沪企改革,-6.530,407.98,375.00,4.08,2.57,1665.35万,1226.32,15.1298,6845.95亿,1606.37亿
26,300750,宁德时代,361.59,-3.70,A股,-3.08,99.03亿,61.60亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-13.910,375.20,361.06,0.40,2.53,1688.63万,20.17,5.1196,1.67万亿,1.54万亿
27,300604,长川科技,393.84,5.30,A股,4.24,97.08亿,71.14亿,电子-半导体-半导体设备,长川科技,电子-半导体-半导体设备,国产芯片、专精特新、两岸合作、昨日高振幅、国家大基金持股、2026中报预增、存储芯片、深成500、东方财富热股、趋势股、大盘成长、2025三季报预增、百日新高 、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、历史新高 、海峡两岸、创业板综,19.840,395.00,373.50,3.78,2.44,1850.48万,177.26,49.6968,2499.61亿,1928.52亿
28,300223,北京君正,235.01,-0.43,A股,-6.84,91.87亿,46.98亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、SRAM存储、京津冀一体化、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-1.010,244.92,230.17,4.67,1.63,1967.57万,89.08,8.9656,1136.61亿,990.98亿
29,603893,瑞芯微,224.36,8.20,A股,5.92,89.34亿,36.25亿,电子-半导体-数字芯片设计,瑞芯微,电子-半导体-数字芯片设计,国产芯片、专精特新、昨日高振幅、上证180_、国家大基金持股、2026中报预增、AI芯片、华为概念、小米概念、趋势股、智能穿戴、消费电子概念、HS300_、大盘成长、2025三季报预增、腾讯概念、电力物联网、2026一季报预增、百度概念、智能家居、人工智能、中国AI 50、科技风格、MCU芯片、2025年报预增、物联网、MSCI中国、机器人概念、福建自贸区、融资融券、AI眼镜、虚拟现实、智能座舱、沪股通、ASIC芯片、半导体概念、大盘股、智能音箱、机器视觉、人形机器人、比亚迪概念、海峡两岸、股权激励、汽车芯片、EDR概念,17.000,227.00,207.00,3.93,2.67,1663.51万,72.11,20.1039,949.52亿,949.40亿
30,300433,蓝思科技,45.64,-2.33,A股,-11.19,89.29亿,29.26亿,电子-消费电子-消费电子零部件及组装,蓝思科技,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,-1.090,47.12,45.22,1.28,1.73,6346.04万,-402.61,4.5993,2409.22亿,2268.17亿
31,300285,国瓷材料,79.44,-1.68,A股,-10.35,88.89亿,46.33亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,国瓷材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、新能源车、3D打印、深成500、节能环保、宁德时代概念、电池技术、消费电子概念、固态电池、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、融资融券、深股通、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、卫星导航、比亚迪概念、锂电池概念、创业板综,-1.360,84.82,78.50,6.63,2.33,5658.12万,139.24,11.1427,792.35亿,678.41亿
